Product ID,Product Position,Price,Competitor's Price,Promotion,Foot Traffic,Consumer Demographics,Product Category,Seasonal,Sales Volume
1,Entrance Display,98.77,93.46,Yes,Low,Students,Electronics,No,128
2,Eye Level,232.71,216.75,Yes,High,Young Adults,Home & Kitchen,Yes,299
3,Entrance Display,479.86,506.85,No,Low,Families,Personal Care,No,98
4,End Cap,1916.57,1854.87,Yes,Low,Families,Electronics,No,128
5,Floor Level,1623.9,1795.07,No,High,Young Adults,Home & Kitchen,No,123
6,Entrance Display,1175.84,1289.43,No,Low,Middle-Aged,Personal Care,Yes,129
7,End Cap,791.25,798.13,Yes,Medium,Seniors,Sports,Yes,209
8,Checkout Zone,1091.57,1021.36,Yes,Medium,Families,Personal Care,Yes,165
9,Entrance Display,1693.56,1899.5,No,Low,Families,Personal Care,Yes,113
10,End Cap,464.62,476.11,No,High,Families,Food & Beverages,No,175
11,End Cap,1502.73,1560.8,Yes,High,Families,Personal Care,Yes,223
12,End Cap,227.27,196.93,No,Low,Middle-Aged,Sports,Yes,90
13,Entrance Display,1213.0,1194.4,No,High,Students,Electronics,Yes,206
14,Entrance Display,1548.77,1500.85,No,Medium,Families,Food & Beverages,No,139
15,Eye Level,1945.18,2172.16,No,High,Seniors,Sports,Yes,268
16,End Cap,1536.9,1596.51,No,High,Young Adults,Home & Kitchen,No,186
17,Top Shelf,268.14,261.98,Yes,Medium,Students,Electronics,Yes,113
18,Entrance Display,1641.25,1956.85,No,High,Middle-Aged,Food & Beverages,No,196
19,Checkout Zone,566.86,654.92,Yes,Medium,Middle-Aged,Sports,No,194
20,Top Shelf,904.3,932.47,No,Low,Middle-Aged,Food & Beverages,Yes,52
21,Floor Level,1197.2,1114.04,Yes,Low,Young Adults,Food & Beverages,Yes,92
22,Eye Level,188.17,175.62,No,High,Families,Food & Beverages,Yes,235
23,Entrance Display,523.84,531.98,No,Medium,Families,Personal Care,No,143
24,Top Shelf,1734.48,1507.19,No,High,Young Adults,Electronics,No,125
25,Entrance Display,1611.16,1431.1,No,Low,Families,Food & Beverages,No,106
26,Top Shelf,1755.25,1538.27,Yes,High,Young Adults,Electronics,Yes,166
27,Eye Level,374.31,381.79,Yes,Low,Middle-Aged,Clothing,Yes,185
28,Top Shelf,1856.71,2088.42,No,Medium,Families,Sports,No,57
29,End Cap,628.58,747.41,Yes,High,Seniors,Electronics,Yes,259
30,Checkout Zone,1030.56,1183.55,No,Low,Young Adults,Home & Kitchen,Yes,76
31,End Cap,1210.32,1314.8,Yes,Low,Students,Food & Beverages,Yes,100
32,Checkout Zone,867.49,914.58,Yes,High,Seniors,Personal Care,Yes,222
33,Entrance Display,515.44,509.53,No,High,Young Adults,Electronics,No,168
34,Checkout Zone,192.86,178.32,Yes,Medium,Middle-Aged,Personal Care,Yes,132
35,End Cap,605.73,607.77,No,High,Students,Electronics,No,200
36,Entrance Display,1880.91,1687.18,Yes,Low,Young Adults,Sports,Yes,96
37,Floor Level,1229.42,1353.79,No,Low,Students,Clothing,No,34
38,Eye Level,1286.85,1467.36,Yes,Low,Young Adults,Personal Care,Yes,121
39,Entrance Display,365.08,366.77,No,High,Young Adults,Sports,Yes,179
40,Checkout Zone,1677.46,1767.84,Yes,Low,Families,Food & Beverages,Yes,106
41,Floor Level,1803.01,2034.95,No,Low,Middle-Aged,Sports,Yes,60
42,Floor Level,1948.98,2167.88,No,Low,Middle-Aged,Food & Beverages,No,40
43,Eye Level,1486.3,1436.16,Yes,Medium,Middle-Aged,Personal Care,Yes,237
44,Entrance Display,795.96,687.35,Yes,Medium,Middle-Aged,Food & Beverages,No,137
45,Floor Level,1650.05,1905.75,No,Low,Seniors,Personal Care,Yes,61
46,Floor Level,1300.89,1287.73,No,High,Seniors,Electronics,Yes,92
47,Floor Level,1182.15,1411.77,Yes,Low,Seniors,Clothing,Yes,77
48,Top Shelf,546.71,600.33,Yes,Low,Students,Home & Kitchen,Yes,92
49,Floor Level,186.45,201.83,No,Medium,Young Adults,Sports,No,48
50,Checkout Zone,1350.44,1302.05,No,High,Seniors,Home & Kitchen,Yes,135
51,End Cap,1346.61,1323.31,No,High,Seniors,Clothing,Yes,230
52,Floor Level,459.86,517.35,No,High,Seniors,Clothing,No,75
53,Top Shelf,1046.79,1180.58,Yes,High,Students,Sports,No,150
54,Eye Level,1361.95,1264.74,Yes,Low,Middle-Aged,Electronics,Yes,164
55,End Cap,1241.98,1389.74,No,Medium,Middle-Aged,Sports,No,135
56,Top Shelf,525.77,567.63,No,Low,Young Adults,Clothing,Yes,77
57,End Cap,147.93,138.64,No,Low,Students,Home & Kitchen,No,77
58,Top Shelf,1669.61,1739.32,No,Low,Families,Clothing,No,72
59,End Cap,1543.34,1593.43,No,High,Seniors,Food & Beverages,No,209
60,Floor Level,1791.4,1573.21,No,Low,Middle-Aged,Clothing,Yes,70
61,Entrance Display,175.25,173.96,Yes,High,Families,Clothing,Yes,220
62,Checkout Zone,980.11,1156.49,No,Medium,Families,Clothing,Yes,121
63,Top Shelf,582.22,593.85,Yes,Medium,Families,Sports,Yes,96
64,Top Shelf,1962.41,2034.91,Yes,Medium,Students,Home & Kitchen,Yes,138
65,Eye Level,314.61,318.26,No,Low,Families,Personal Care,No,124
66,Top Shelf,1516.42,1730.5,No,Medium,Young Adults,Clothing,Yes,107
67,Entrance Display,1999.82,1944.8,Yes,High,Young Adults,Electronics,Yes,273
68,End Cap,1261.6,1177.69,Yes,Medium,Young Adults,Home & Kitchen,Yes,220
69,Top Shelf,1545.45,1404.39,No,High,Middle-Aged,Personal Care,Yes,148
70,Checkout Zone,1861.33,1957.24,Yes,Medium,Families,Sports,Yes,142
71,Eye Level,248.71,278.65,Yes,High,Students,Electronics,No,284
72,Checkout Zone,1339.97,1171.31,No,High,Seniors,Electronics,No,150
73,Top Shelf,895.37,874.57,Yes,Medium,Students,Sports,No,106
74,Checkout Zone,956.5,1089.46,No,High,Seniors,Personal Care,Yes,135
75,Eye Level,1769.18,1654.81,No,Medium,Seniors,Electronics,No,153
76,Floor Level,1000.72,974.89,Yes,Medium,Seniors,Personal Care,No,74
77,Checkout Zone,1057.42,969.52,Yes,Low,Middle-Aged,Sports,No,100
78,Entrance Display,923.94,790.93,No,Medium,Middle-Aged,Clothing,Yes,117
79,Floor Level,972.86,1007.71,No,Medium,Seniors,Sports,No,95
80,Floor Level,540.24,482.02,No,Low,Seniors,Electronics,Yes,48
81,End Cap,1490.28,1410.96,Yes,High,Seniors,Electronics,Yes,284
82,Floor Level,753.72,720.4,Yes,High,Students,Food & Beverages,No,110
83,Eye Level,1129.05,1235.29,Yes,Low,Young Adults,Electronics,No,135
84,Top Shelf,908.91,831.22,No,Low,Seniors,Clothing,Yes,37
85,Eye Level,1008.91,1061.33,No,High,Students,Personal Care,Yes,244
86,End Cap,1138.24,1133.3,Yes,High,Students,Food & Beverages,No,263
87,Top Shelf,629.84,665.1,No,Medium,Students,Sports,Yes,80
88,End Cap,566.06,497.24,Yes,Low,Middle-Aged,Home & Kitchen,Yes,166
89,End Cap,846.61,923.89,Yes,Medium,Seniors,Sports,No,196
90,Eye Level,1851.63,2084.45,Yes,High,Students,Sports,Yes,306
91,Top Shelf,1111.9,1197.15,Yes,Medium,Middle-Aged,Personal Care,No,116
92,Top Shelf,963.96,921.96,Yes,Medium,Seniors,Home & Kitchen,No,105
93,Top Shelf,1216.17,1412.34,Yes,High,Young Adults,Food & Beverages,Yes,139
94,Entrance Display,1173.68,1311.1,No,Low,Families,Home & Kitchen,No,111
95,Floor Level,1994.04,1999.14,Yes,Medium,Families,Personal Care,No,109
96,Entrance Display,1722.58,1663.03,Yes,High,Families,Personal Care,No,223
97,Checkout Zone,936.91,899.51,Yes,Medium,Students,Electronics,No,175
98,Top Shelf,415.79,406.07,Yes,Medium,Families,Electronics,Yes,135
99,Floor Level,1858.96,1865.17,Yes,High,Students,Food & Beverages,Yes,108
100,Floor Level,1126.89,994.62,Yes,Low,Families,Electronics,Yes,61
101,Top Shelf,1042.3,985.7,No,Medium,Students,Food & Beverages,No,104
102,End Cap,1734.85,1642.36,Yes,Medium,Seniors,Home & Kitchen,No,198
103,Eye Level,1465.8,1675.58,No,High,Middle-Aged,Clothing,No,257
104,Floor Level,1126.24,1171.52,No,Medium,Seniors,Food & Beverages,Yes,69
105,Checkout Zone,505.45,566.83,No,Low,Families,Clothing,Yes,74
106,Top Shelf,296.18,351.82,Yes,Medium,Young Adults,Clothing,Yes,133
107,Checkout Zone,79.93,71.97,No,High,Seniors,Personal Care,No,163
